Customer_ID,Age,Annual_Income,Spending_Score,Visits_Per_Month,Purchase_Amount
1,56,49855,23,6,457.77
2,69,81434,10,9,302.56
3,46,92694,69,4,473.75
4,32,63016,34,1,515.37
5,60,27400,52,6,455.03
6,25,137858,95,8,370.0
7,38,62642,10,6,533.73
8,56,35151,19,2,588.39
9,36,71407,58,3,281.92
10,40,86690,96,5,782.19
11,28,24499,1,3,480.28
12,28,26295,69,3,503.77
13,41,140885,4,5,641.64
14,53,146071,16,6,546.64
15,57,79040,24,5,690.63
16,41,32183,80,3,557.42
17,20,49299,2,5,377.51
18,39,32874,92,3,572.3
19,19,136336,32,3,271.25
20,41,52711,91,6,521.71
21,61,25539,84,5,493.35
22,47,127941,24,6,458.38
23,55,73351,12,2,474.29
24,19,81267,50,4,123.63
25,38,143133,35,7,390.26
26,50,68354,33,6,518.57
27,29,146063,33,5,531.97
28,39,22557,61,4,294.46
29,61,58360,51,3,753.14
30,42,102018,43,3,326.77
31,66,22200,12,7,693.89
32,44,132476,67,7,585.44
33,59,88497,65,6,370.75
34,45,66975,33,6,855.06
35,33,41357,40,7,261.27
36,32,139121,74,8,683.83
37,64,97505,43,6,700.12
38,68,22869,44,3,365.88
39,61,146114,29,7,778.49
40,69,81135,13,5,449.99
41,20,70108,12,5,557.74
42,54,132296,95,7,552.06
43,68,114179,46,4,473.14
44,24,110272,2,9,662.16
45,38,58467,35,4,658.7
46,26,43328,87,5,150.29
47,56,139181,81,2,760.87
48,35,111412,90,6,167.5
49,21,106831,8,3,706.51
50,42,23987,93,6,725.34
51,31,78871,26,2,281.81
52,67,42399,74,3,417.84
53,26,148391,90,5,278.86
54,43,66214,34,3,457.02
55,19,119522,7,4,438.39
56,37,106416,68,5,655.93
57,45,90271,58,6,762.06
58,64,64064,75,3,779.14
59,24,145615,29,3,387.57
60,61,90091,36,4,458.16
61,25,127450,89,5,163.31
62,64,60818,21,4,338.83
63,52,65525,36,2,692.97
64,31,39830,10,6,823.12
65,34,37429,73,6,253.13
66,53,26893,24,8,381.51
67,67,136381,64,1,494.72
68,57,99909,99,6,556.03
69,21,67333,49,2,338.08
70,19,23436,99,5,584.81
71,23,94290,36,2,405.23
72,59,96213,82,6,497.11
73,21,25895,96,4,609.26
74,46,39738,24,3,501.28
75,35,50746,23,5,412.72
76,43,69377,62,6,478.08
77,61,68404,96,3,482.33
78,51,74045,37,4,426.0
79,27,117888,12,8,448.24
80,53,149307,55,4,819.73
81,31,59790,13,10,612.18
82,48,127455,23,4,440.9
83,65,25600,89,5,639.39
84,32,114660,99,10,433.24
85,25,113179,30,3,734.62
86,31,60764,17,4,573.93
87,40,94543,62,7,478.54
88,57,65714,84,5,589.54
89,38,76835,89,10,185.82
90,33,122946,86,4,274.65
91,62,148191,13,2,261.21
92,35,129616,59,3,528.59
93,64,125983,19,5,846.5
94,41,93744,49,8,946.26
95,43,76491,12,4,627.61
96,42,144123,61,3,600.17
97,62,38589,19,8,139.79
98,58,63484,76,6,391.47
99,46,102989,9,8,342.44
100,32,56212,71,3,375.83
101,62,63525,28,3,466.37
102,18,67202,78,5,405.58
103,42,52635,95,11,104.14
104,24,83208,52,7,649.58
105,26,53828,83,4,285.45
106,41,38711,16,3,547.85
107,18,23420,69,8,914.82
108,61,116752,99,8,316.12
109,25,20301,12,3,-6.06
110,41,65236,25,3,442.8
111,28,135294,52,6,720.19
112,68,137858,85,2,891.67
113,34,86235,53,7,254.09
114,25,74240,23,5,599.34
115,52,144019,16,5,406.94
116,52,85726,57,6,478.81
117,50,30492,39,1,1028.87
118,22,135668,53,10,199.41
119,59,121279,42,2,550.75
120,56,26102,58,5,593.54
121,58,70336,39,4,717.16
122,45,138015,14,5,519.6
123,24,105314,95,4,561.61
124,26,143007,5,5,421.67
125,25,46641,35,6,553.83
126,29,54584,87,1,431.36
127,51,52745,93,3,624.31
128,50,140542,75,2,426.08
129,65,43093,18,5,575.42
130,40,86105,76,4,494.15
131,41,123746,9,7,725.21
132,54,120199,74,7,489.72
133,52,71885,58,2,145.39
134,61,56631,17,6,752.38
135,57,131217,7,7,318.85
136,39,92991,46,2,369.25
137,44,24014,13,7,380.87
138,52,31093,40,5,774.89
139,18,38070,42,7,72.87
140,52,55777,9,6,1127.55
141,54,76958,50,5,711.21
142,64,102074,27,6,544.65
143,31,30729,66,5,489.02
144,20,119713,5,4,557.11
145,18,65017,29,7,604.22
146,22,86320,37,1,629.04
147,43,47751,38,8,611.12
148,31,126400,83,4,517.92
149,56,125864,8,5,460.53
150,44,98069,65,3,469.75
151,26,125647,86,7,461.02
152,32,125510,17,2,726.75
153,32,74748,71,5,618.71
154,43,25801,89,10,-88.08
155,59,39190,45,7,631.18
156,30,69689,4,7,538.95
157,68,124290,36,10,496.26
158,49,70993,70,1,422.3
159,56,49592,31,5,724.82
160,66,30647,19,3,689.51
161,69,28716,61,8,345.42
162,49,108891,54,7,581.41
163,21,107545,39,3,305.67
164,47,137638,91,1,224.08
165,54,109912,74,5,374.66
166,40,130627,90,3,672.48
167,56,90316,19,6,690.63
168,62,146995,39,3,602.62
169,32,22368,67,4,645.02
170,60,97575,45,5,603.24
171,46,26655,13,8,371.7
172,53,126477,92,7,586.38
173,30,90031,58,5,660.08
174,49,96429,20,4,650.86
175,24,111083,92,6,737.78
176,68,107922,72,8,641.66
177,39,75766,61,4,570.29
178,45,144046,39,3,714.03
179,19,33403,1,2,494.7
180,59,52097,3,3,323.63
181,62,98657,77,9,467.39
182,23,140607,92,5,351.02
183,45,30966,62,4,364.96
184,45,144862,63,7,471.1
185,61,119157,25,8,341.52
186,61,138834,56,4,438.41
187,37,113848,33,4,121.28
188,47,72921,38,8,542.66
189,28,69726,6,5,500.24
190,45,146141,58,5,336.58
191,42,70300,44,6,631.85
192,56,42677,45,7,687.51
193,50,75609,32,2,178.49
194,18,116825,45,1,347.46
195,44,76661,61,7,346.17
196,69,51024,47,5,312.02
197,30,128211,21,4,665.89
198,58,90313,80,4,461.23
199,20,147813,85,3,447.1
200,56,73006,75,8,99.23
201,23,115285,36,7,627.08
202,25,35338,99,1,252.15
203,44,88027,19,2,511.99
204,26,112772,20,4,555.48
205,54,133632,57,6,772.13
206,50,100135,18,4,238.24
207,68,39508,47,6,-103.9
208,59,140379,49,8,536.77
209,61,23051,14,7,860.1
210,41,68747,15,5,747.79
211,32,134692,31,2,541.93
212,49,107142,1,1,401.67
213,49,107235,54,7,661.42
214,41,74021,3,4,305.29
215,58,86412,16,1,595.27
216,69,78335,87,6,601.09
217,66,76179,57,5,712.04
218,66,52093,75,8,1051.93
219,69,89678,12,5,578.48
220,29,100738,74,4,398.21
221,56,59734,96,10,494.89
222,19,92615,16,7,146.18
223,20,93523,72,4,361.06
224,66,125103,76,8,418.14
225,54,114476,24,5,395.18
226,66,122769,28,5,530.47
227,34,37019,8,5,335.52
228,66,131721,92,2,724.21
229,19,103613,36,3,500.04
230,19,111794,90,4,498.14
231,45,106672,8,9,434.42
232,40,93847,58,0,531.04
233,54,102750,60,5,665.02
234,49,99634,50,5,326.57
235,50,48251,28,5,368.38
236,18,123481,92,5,439.25
237,36,132566,41,4,230.83
238,19,45945,64,9,336.15
239,61,110852,27,6,404.76
240,43,52217,63,2,674.88
241,49,28308,17,6,552.51
242,23,25949,73,6,538.72
243,49,71990,33,6,670.18
244,21,21150,84,5,472.53
245,28,109480,77,2,578.09
246,34,120235,92,5,479.36
247,55,94740,29,3,553.07
248,41,136352,13,3,383.45
249,22,86617,46,3,12.24
250,69,114841,35,6,473.14
251,51,36896,6,6,784.55
252,23,145729,82,4,685.24
253,39,66175,69,5,693.08
254,28,27805,47,5,747.23
255,65,25237,25,7,517.73
256,33,135247,66,5,539.46
257,50,40056,10,3,376.47
258,26,65543,56,4,436.79
259,23,76556,30,7,623.15
260,33,134548,5,5,740.78
261,46,131488,33,7,472.11
262,20,23343,65,8,409.96
263,37,33500,18,7,500.11
264,53,73222,96,5,620.24
265,36,49375,49,8,211.23
266,43,29662,11,4,40.76
267,20,36964,85,6,389.89
268,36,133429,26,8,255.86
269,37,141692,63,6,398.37
270,49,79638,89,3,470.44
271,24,93666,86,8,409.35
272,69,105067,59,4,790.49
273,58,138937,27,7,565.35
274,50,87215,49,2,560.09
275,57,89042,77,10,624.44
276,56,33284,33,6,272.23
277,35,92789,98,4,707.82
278,57,104664,99,5,484.85
279,18,113468,1,6,634.1
280,28,81389,21,4,285.63
281,45,29435,55,5,189.25
282,42,74340,6,6,663.58
283,67,64078,92,3,575.28
284,40,98832,81,7,319.59
285,48,71293,69,7,326.07
286,47,115981,95,8,725.09
287,59,98781,5,4,262.12
288,52,80403,3,7,828.53
289,24,49124,53,3,319.88
290,33,115435,23,4,627.68
291,43,63919,53,4,434.28
292,65,128761,37,0,620.64
293,69,141305,74,1,391.18
294,66,55247,74,1,467.44
295,19,141172,83,7,508.18
296,18,114758,17,5,299.56
297,65,111747,85,5,648.16
298,29,82752,78,8,397.36
299,22,76573,73,3,454.28
300,54,79101,1,5,301.13
