Customer_ID,Age,Annual_Income,Spending_Score,Visits_Per_Month,Churn
1,19,116374,10,2,0
2,53,71494,88,5,0
3,58,64684,13,5,1
4,27,65659,10,7,0
5,58,121246,59,2,0
6,36,99285,99,7,0
7,22,50046,94,7,0
8,23,48161,18,5,0
9,19,76224,11,3,1
10,41,56195,70,9,0
11,53,27593,34,5,1
12,67,40516,77,6,0
13,19,101921,35,5,0
14,66,85757,24,5,0
15,47,130568,48,4,0
16,56,109125,93,3,0
17,61,121324,89,4,0
18,41,107213,39,4,0
19,20,143760,42,3,1
20,18,138194,39,5,0
21,30,112125,93,10,0
22,58,43440,22,10,1
23,26,36962,94,8,1
24,38,113291,90,8,1
25,57,107257,60,3,0
26,33,102439,83,4,0
27,65,68287,94,13,0
28,45,119190,48,9,1
29,55,125065,98,4,1
30,64,140637,12,7,0
31,54,52359,29,6,0
32,62,134846,28,8,1
33,35,54556,36,12,0
34,27,35813,27,7,1
35,50,143720,12,3,0
36,39,84967,69,9,1
37,65,56789,35,10,1
38,59,128245,35,7,0
39,53,119602,62,7,1
40,37,30546,42,12,0
41,40,76195,82,5,0
42,44,56251,13,11,0
43,68,89080,99,6,1
44,23,66794,71,4,0
45,30,72196,55,3,0
46,50,34349,93,5,0
47,45,73378,66,5,0
48,19,44962,71,6,0
49,62,37909,24,6,1
50,29,111076,55,6,0
51,68,131616,99,7,0
52,29,99510,19,10,0
53,47,92563,8,4,0
54,49,51938,81,4,0
55,67,136234,93,6,1
56,59,140023,5,6,0
57,51,25687,52,3,1
58,30,149394,71,6,0
59,31,28766,32,2,0
60,30,101333,89,7,1
61,53,120800,98,4,0
62,42,143728,46,5,0
63,58,138241,84,3,0
64,27,86409,56,5,0
65,68,148390,52,5,1
66,58,109378,28,5,0
67,29,90816,95,6,1
68,18,128355,92,5,1
69,41,121303,42,3,1
70,29,68617,33,8,1
71,53,100194,34,5,0
72,68,118768,45,3,0
73,66,85083,96,8,0
74,56,33732,8,5,0
75,66,113796,85,6,0
76,20,132611,92,8,0
77,60,147498,38,10,0
78,37,72304,40,10,0
79,36,105859,77,4,0
80,58,137799,79,8,0
81,45,54012,43,5,0
82,53,59041,51,4,0
83,63,121658,69,7,0
84,47,77706,15,2,0
85,39,111769,67,5,1
86,59,135740,30,4,0
87,62,90163,86,5,0
88,54,88361,50,6,0
89,51,90210,76,9,1
90,63,136503,14,5,0
91,47,85143,19,7,0
