Customer_ID,Age,Gender,Annual_Income,Spending_Score,Churn
1,22,Male,54566,69,1
2,43,Female,97058,46,0
3,21,Male,42190,45,1
4,37,Male,94050,31,1
5,41,Male,96680,81,0
6,57,Male,39533,70,1
7,46,Female,112775,53,1
8,32,Female,25906,40,0
9,41,Female,110647,66,1
10,26,Female,89303,91,0
11,43,Male,97724,97,0
12,64,Male,56188,48,0
13,60,Male,31131,78,1
14,44,Female,64751,76,1
15,26,Male,80257,40,1
16,57,Female,50656,12,0
17,56,Female,77089,98,0
18,22,Male,89400,38,0
19,25,Female,54407,55,0
20,62,Female,61786,89,1
21,18,Male,38212,27,1
22,29,Male,32842,85,1
23,24,Male,33359,33,1
24,37,Male,63862,39,0
25,62,Female,54219,52,0
26,23,Male,84385,93,1
27,42,Female,46196,83,1
28,18,Male,43752,2,0
29,52,Female,99191,45,1
30,27,Female,62803,75,0
31,32,Female,44091,75,0
32,56,Male,55107,49,1
33,22,Male,86766,3,0
34,64,Female,69780,32,0
35,27,Female,22649,32,1
36,41,Male,105109,50,1
37,53,Male,46301,16,1
38,21,Male,28119,46,0
39,26,Male,44558,7,1
40,37,Female,81982,85,1
41,19,Female,74378,23,0
42,18,Male,96364,9,0
43,34,Female,27609,18,1
44,49,Female,24014,32,1
45,47,Female,50701,72,0
46,62,Male,81271,43,0
47,46,Male,116102,74,1
48,25,Female,114969,92,0
49,41,Female,36632,32,1
50,28,Female,94171,59,0
51,59,Female,59512,73,0
52,53,Female,36539,39,0
53,18,Female,86354,50,0
54,25,Female,65458,1,0
55,41,Male,83339,32,1
56,46,Female,57393,24,1
57,50,Female,32340,97,1
58,39,Male,31729,8,1
59,54,Female,70692,1,1
60,53,Male,27769,60,0
61,51,Female,54013,31,1
62,21,Male,88427,92,0
63,45,Female,73861,49,0
64,51,Female,114974,21,0
65,37,Male,119898,65,1
66,45,Male,108579,60,1
67,22,Female,25022,3,1
68,37,Male,97773,71,1
69,51,Male,68581,35,0
70,48,Female,82712,50,0
71,55,Female,27911,78,1
72,27,Female,80478,29,1
73,47,Male,88608,5,0
74,35,Female,97164,63,1
75,49,Male,24216,48,1
76,20,Male,30319,21,0
77,37,Female,93461,18,0
78,36,Male,50820,40,0
79,39,Male,83117,87,1
