Order_ID,Customer_ID,Order_Date,Region,Product_Category,Sales_Amount
1001,57,2024-01-01,North,Electronics,258.0
1002,5,2024-01-02,East,Electronics,1402.0
1003,49,2024-01-03,North,,877.0
1004,113,2024-01-04,South,Clothing,1918.0
1005,121,2024-01-05,South,Electronics,1902.0
1006,99,2024-01-06,North,,158.0
1007,73,2024-01-07,South,Electronics,497.0
1008,111,2024-01-08,East,Home,500.0
1009,62,2024-01-09,,Clothing,258.0
1010,123,2024-01-10,,,1575.0
1011,49,2024-01-11,East,,877.0
1012,101,2024-01-12,West,Clothing,310.0
1013,85,2024-01-13,South,Electronics,497.0
1014,60,2024-01-14,,Home,569.0
1015,149,2024-01-15,East,Electronics,158.0
1016,120,2024-01-16,East,Clothing,1700.0
1017,134,2024-01-17,West,Home,258.0
1018,19,2024-01-18,North,Clothing,310.0
1019,51,2024-01-19,,Home,1201.0
1020,49,2024-01-20,,Home,258.0
1021,54,2024-01-21,North,,258.0
1022,6,2024-01-22,South,,877.0
1023,81,2024-01-23,North,Home,877.0
1024,36,2024-01-24,East,,70.0
1025,113,2024-01-25,,Home,497.0
1026,13,2024-01-26,North,Home,1402.0
1027,83,2024-01-27,East,Electronics,552.0
1028,16,2024-01-28,West,Electronics,305.0
1029,135,2024-01-29,North,Home,552.0
1030,91,2024-01-30,West,Electronics,
1031,29,2024-01-31,South,Clothing,689.0
1032,138,2024-02-01,East,Electronics,305.0
1033,110,2024-02-02,South,,70.0
1034,129,2024-02-03,South,,310.0
1035,134,2024-02-04,West,,305.0
1036,70,2024-02-05,,,569.0
1037,119,2024-02-06,South,Electronics,258.0
1038,133,2024-02-07,,Clothing,552.0
1039,77,2024-02-08,South,,70.0
1040,31,2024-02-09,East,Electronics,1402.0
1041,31,2024-02-10,North,Electronics,70.0
1042,123,2024-02-11,East,Clothing,1201.0
1043,113,2024-02-12,South,,877.0
1044,64,2024-02-13,North,Clothing,1918.0
1045,67,2024-02-14,South,Clothing,757.0
1046,122,2024-02-15,,Home,258.0
1047,72,2024-02-16,North,Clothing,
